observation_date,SP500,daily_gain,previous_day_was_positive,previous_two_days_were_positive,previous_two_days_were_negative,daily_return
1/2/2019,2510.03,-3.18,0,0,0,-0.0248
1/3/2019,2447.89,-62.14,0,0,0,0.0343
1/4/2019,2531.94,84.05,1,0,1,0.007
1/7/2019,2549.69,17.75,1,0,0,0.0097
1/8/2019,2574.41,24.72,1,1,0,0.0041
1/9/2019,2584.96,10.55,1,1,0,0.0045
1/10/2019,2596.64,11.68,1,1,0,-0.0001
1/11/2019,2596.26,-0.38,0,1,0,-0.0053
1/14/2019,2582.61,-13.65,0,0,0,0.0107
1/15/2019,2610.3,27.69,1,0,1,0.0022
1/16/2019,2616.1,5.8,1,0,0,0.0076
1/17/2019,2635.96,19.86,1,1,0,0.0132
1/18/2019,2670.71,34.75,1,1,0,-0.0142
1/22/2019,2632.9,-37.81,0,1,0,0.0022
1/23/2019,2638.7,5.8,1,0,0,0.0014
1/24/2019,2642.33,3.63,1,0,0,0.0085
1/25/2019,2664.76,22.43,1,1,0,-0.0078
1/28/2019,2643.85,-20.91,0,1,0,-0.0015
1/29/2019,2640,-3.85,0,0,0,0.0155
1/30/2019,2681.05,41.05,1,0,1,0.0086
1/31/2019,2704.1,23.05,1,0,0,0.0009
2/1/2019,2706.53,2.43,1,1,0,0.0068
2/4/2019,2724.87,18.34,1,1,0,0.0047
2/5/2019,2737.7,12.83,1,1,0,-0.0022
2/6/2019,2731.61,-6.09,0,1,0,-0.0094
2/7/2019,2706.05,-25.56,0,0,0,0.0007
2/8/2019,2707.88,1.83,1,0,1,0.0007
2/11/2019,2709.8,1.92,1,0,0,0.0129
2/12/2019,2744.73,34.93,1,1,0,0.003
2/13/2019,2753.03,8.3,1,1,0,-0.0027
2/14/2019,2745.73,-7.3,0,1,0,0.0109
2/15/2019,2775.6,29.87,1,0,0,0.0015
2/19/2019,2779.76,4.16,1,0,0,0.0018
2/20/2019,2784.7,4.94,1,1,0,-0.0035
2/21/2019,2774.88,-9.82,0,1,0,0.0064
2/22/2019,2792.67,17.79,1,0,0,0.0012
2/25/2019,2796.11,3.44,1,0,0,-0.0008
2/26/2019,2793.9,-2.21,0,1,0,-0.0005
2/27/2019,2792.38,-1.52,0,0,0,-0.0028
2/28/2019,2784.49,-7.89,0,0,1,0.0069
3/1/2019,2803.69,19.2,1,0,1,-0.0039
3/4/2019,2792.81,-10.88,0,0,0,-0.0011
3/5/2019,2789.65,-3.16,0,0,0,-0.0065
3/6/2019,2771.45,-18.2,0,0,1,-0.0081
3/7/2019,2748.93,-22.52,0,0,1,-0.0021
3/8/2019,2743.07,-5.86,0,0,1,0.0147
3/11/2019,2783.3,40.23,1,0,1,0.003
3/12/2019,2791.52,8.22,1,0,0,0.0069
3/13/2019,2810.92,19.4,1,1,0,-0.0009
3/14/2019,2808.48,-2.44,0,1,0,0.005
3/15/2019,2822.48,14,1,0,0,0.0037
3/18/2019,2832.94,10.46,1,0,0,-0.0001
3/19/2019,2832.57,-0.37,0,1,0,-0.0029
3/20/2019,2824.23,-8.34,0,0,0,0.0109
3/21/2019,2854.88,30.65,1,0,1,-0.019
3/22/2019,2800.71,-54.17,0,0,0,-0.0008
3/25/2019,2798.36,-2.35,0,0,0,0.0072
3/26/2019,2818.46,20.1,1,0,1,-0.0046
3/27/2019,2805.37,-13.09,0,0,0,0.0036
3/28/2019,2815.44,10.07,1,0,0,0.0067
3/29/2019,2834.4,18.96,1,0,0,0.0116
4/1/2019,2867.19,32.79,1,1,0,0
4/2/2019,2867.24,0.05,1,1,0,0.0021
4/3/2019,2873.4,6.16,1,1,0,0.0021
4/4/2019,2879.39,5.99,1,1,0,0.0046
4/5/2019,2892.74,13.35,1,1,0,0.001
4/8/2019,2895.77,3.03,1,1,0,-0.0061
4/9/2019,2878.2,-17.57,0,1,0,0.0035
4/10/2019,2888.21,10.01,1,0,0,0
4/11/2019,2888.32,0.11,1,0,0,0.0066
4/12/2019,2907.41,19.09,1,1,0,-0.0006
4/15/2019,2905.58,-1.83,0,1,0,0.0005
4/16/2019,2907.06,1.48,1,0,0,-0.0023
4/17/2019,2900.45,-6.61,0,0,0,0.0016
4/18/2019,2905.03,4.58,1,0,0,0.001
4/22/2019,2907.97,2.94,1,0,0,0.0088
4/23/2019,2933.68,25.71,1,1,0,-0.0022
4/24/2019,2927.25,-6.43,0,1,0,-0.0004
4/25/2019,2926.17,-1.08,0,0,0,0.0047
4/26/2019,2939.88,13.71,1,0,1,0.0011
4/29/2019,2943.03,3.15,1,0,0,0.001
4/30/2019,2945.83,2.8,1,1,0,-0.0075
5/1/2019,2923.73,-22.1,0,1,0,-0.0021
5/2/2019,2917.52,-6.21,0,0,0,0.0096
5/3/2019,2945.64,28.12,1,0,1,-0.0045
5/6/2019,2932.47,-13.17,0,0,0,-0.0165
5/7/2019,2884.05,-48.42,0,0,0,-0.0016
5/8/2019,2879.42,-4.63,0,0,1,-0.003
5/9/2019,2870.72,-8.7,0,0,1,0.0037
5/10/2019,2881.4,10.68,1,0,1,-0.0241
5/13/2019,2811.87,-69.53,0,0,0,0.008
5/14/2019,2834.41,22.54,1,0,0,0.0058
5/15/2019,2850.96,16.55,1,0,0,0.0089
5/16/2019,2876.32,25.36,1,1,0,-0.0058
5/17/2019,2859.53,-16.79,0,1,0,-0.0067
5/20/2019,2840.23,-19.3,0,0,0,0.0085
5/21/2019,2864.36,24.13,1,0,1,-0.0028
5/22/2019,2856.27,-8.09,0,0,0,-0.0119
5/23/2019,2822.24,-34.03,0,0,0,0.0014
5/24/2019,2826.06,3.82,1,0,1,-0.0084
5/28/2019,2802.39,-23.67,0,0,0,-0.0069
5/29/2019,2783.02,-19.37,0,0,0,0.0021
5/30/2019,2788.86,5.84,1,0,1,-0.0132
5/31/2019,2752.06,-36.8,0,0,0,-0.0028
6/3/2019,2744.45,-7.61,0,0,0,0.0214
6/4/2019,2803.27,58.82,1,0,1,0.0082
6/5/2019,2826.15,22.88,1,0,0,0.0061
6/6/2019,2843.49,17.34,1,1,0,0.0105
6/7/2019,2873.34,29.85,1,1,0,0.0047
6/10/2019,2886.73,13.39,1,1,0,-0.0003
6/11/2019,2885.72,-1.01,0,1,0,-0.002
6/12/2019,2879.84,-5.88,0,0,0,0.0041
6/13/2019,2891.64,11.8,1,0,1,-0.0016
6/14/2019,2886.98,-4.66,0,0,0,0.0009
6/17/2019,2889.67,2.69,1,0,0,0.0097
6/18/2019,2917.75,28.08,1,0,0,0.003
6/19/2019,2926.46,8.71,1,1,0,0.0095
6/20/2019,2954.18,27.72,1,1,0,-0.0013
6/21/2019,2950.46,-3.72,0,1,0,-0.0017
6/24/2019,2945.35,-5.11,0,0,0,-0.0095
6/25/2019,2917.38,-27.97,0,0,1,-0.0012
6/26/2019,2913.78,-3.6,0,0,1,0.0038
6/27/2019,2924.92,11.14,1,0,1,0.0058
6/28/2019,2941.76,16.84,1,0,0,0.0077
7/1/2019,2964.33,22.57,1,1,0,0.0029
7/2/2019,2973.01,8.68,1,1,0,0.0077
7/3/2019,2995.82,22.81,1,1,0,-0.0018
7/5/2019,2990.41,-5.41,0,1,0,-0.0048
7/8/2019,2975.95,-14.46,0,0,0,0.0012
7/9/2019,2979.63,3.68,1,0,1,0.0045
7/10/2019,2993.07,13.44,1,0,0,0.0023
7/11/2019,2999.91,6.84,1,1,0,0.0046
7/12/2019,3013.77,13.86,1,1,0,0.0002
7/15/2019,3014.3,0.53,1,1,0,-0.0034
7/16/2019,3004.04,-10.26,0,1,0,-0.0065
7/17/2019,2984.42,-19.62,0,0,0,0.0036
7/18/2019,2995.11,10.69,1,0,1,-0.0062
7/19/2019,2976.61,-18.5,0,0,0,0.0028
7/22/2019,2985.03,8.42,1,0,0,0.0068
7/23/2019,3005.47,20.44,1,0,0,0.0047
7/24/2019,3019.56,14.09,1,1,0,-0.0053
7/25/2019,3003.67,-15.89,0,1,0,0.0074
7/26/2019,3025.86,22.19,1,0,0,-0.0016
7/29/2019,3020.97,-4.89,0,0,0,-0.0026
7/30/2019,3013.18,-7.79,0,0,0,-0.0109
7/31/2019,2980.38,-32.8,0,0,1,-0.009
8/1/2019,2953.56,-26.82,0,0,1,-0.0073
8/2/2019,2932.05,-21.51,0,0,1,-0.0298
8/5/2019,2844.74,-87.31,0,0,1,0.013
8/6/2019,2881.77,37.03,1,0,1,0.0008
8/7/2019,2883.98,2.21,1,0,0,0.0188
8/8/2019,2938.09,54.11,1,1,0,-0.0066
8/9/2019,2918.65,-19.44,0,1,0,-0.012
